"Name","PipeSize","PipeSize1","Schedule","L","N","Approx. Wt.","PID","PID1","POD1"
"837-534","6""","5""",80,"3+17/32 in","7/8 in","2.05 lb","5.709 in","4.768 in","5.563 in"
"837-578","8""","2""",80,"4+15/16 in","3+3/8 in","8.64 lb","7.565 in","1.913 in","2.375 in"
"837-580","8""","3""",80,"5+1/8 in","3+1/4 in","8.68 lb","7.565 in","2.864 in","3.500 in"
"837-582","8""","4""",80,"4+1/2 in","2+1/4 in","5.53 lb","7.565 in","3.786 in","4.500 in"
"837-585","8""","6""",80,"4+3/8 in","1+3/8 in","5.05 lb","7.565 in","5.709 in","6.625 in"
"837-624","10""","4""",80,"6 in","3+3/4 in","10.56 lb","9.493 in","3.786 in","4.500 in"
"837-626","10""","6""",80,"5+5/16 in","2+5/16 in","9.32 lb","9.493 in","5.709 in","6.625 in"
"837-628","10""","8""",80,"5+11/32 in","1+5/16 in","9.04 lb","9.493 in","7.565 in","8.625 in"
"837-666","12""","6""",80,"7 in","4 in","15.51 lb","11.294 in","5.709 in","6.625 in"
"837-666F","12""","6""",80,"6+7/16 in","3+3/8 in","15.31 lb","11.294 in","5.709 in","6.625 in"
"837-668","12""","8""",80,"6+7/8 in","2+7/16 in","10.13 lb","11.294 in","7.565 in","8.625 in"
"837-670","12""","10""",80,"6+11/32 in","1+9/32 in","11.74 lb","11.294 in","9.493 in","10.750 in"
"837-670F","12""","10""",80,"6 in","1 in","11.04 lb","11.294 in","9.493 in","10.750 in"
