"Name","PipeSize","PipeSize1","Schedule","L","M","M1","N","Approx. Wt.","POD","PID","POD1","PID1"
"429-583F","8""","5""",40,"14+1/4 in","9+3/16 in","6+1/16 in","7 in","5.07 lb","8.625 in","7.942 in","5.563 in","5.016 in"
"429-585","8""","6""",40,"8+13/32 in","9+11/32 in","7+9/32 in","1+11/32 in","4.07 lb","8.625 in","7.942 in","6.625 in","6.031 in"
"429-585F","8""","6""",40,"11 in","9+3/16 in","7+3/16 in","3+1/2 in","4.63 lb","8.625 in","7.942 in","6.625 in","6.031 in"
"429-621F","10""","2""",40,"17+5/8 in","11+3/8 in","5 in","11 in","8.15 lb","10.750 in","9.976 in","2.375 in","2.047 in"
"429-623F","10""","3""",40,"17+9/16 in","11+3/8 in","5 in","10+7/16 in","7.97 lb","10.750 in","9.976 in","3.500 in","3.042 in"
"429-624","10""","4""",40,"10+7/16 in","11+17/32 in","5+1/16 in","3+11/32 in","7.40 lb","10.750 in","9.976 in","4.500 in","3.998 in"
"429-624F","10""","4""",40,"17+1/4 in","11+3/8 in","5 in","9+3/4 in","7.18 lb","10.750 in","9.976 in","4.500 in","3.998 in"
"429-625F","10""","5""",40,"17 in","11+3/8 in","6+1/16 in","8+3/4 in","7.31 lb","10.750 in","9.976 in","5.563 in","5.016 in"
"429-626","10""","6""",40,"10+7/16 in","11+9/16 in","7+9/32 in","2+1/4 in","7.11 lb","10.750 in","9.976 in","6.625 in","6.031 in"
"429-626F","10""","6""",40,"13+7/8 in","11+3/8 in","7+1/4 in","5+3/8 in","6.61 lb","10.750 in","9.976 in","6.625 in","6.031 in"
"429-628","10""","8""",40,"10+7/16 in","11+5/8 in","9+3/8 in","1+3/8 in","7.07 lb","10.750 in","9.976 in","8.625 in","7.942 in"
"429-628F","10""","8""",40,"13+1/4 in","11+9/16 in","9+7/16 in","3+3/4 in","8.95 lb","10.750 in","9.976 in","8.625 in","7.942 in"
"429-661F","12""","2""",40,"24+3/8 in","13+9/16 in","5 in","16+3/4 in","19.16 lb","12.750 in","11.889 in","2.375 in","2.047 in"
"429-663F","12""","3""",40,"24+5/16 in","13+9/16 in","5 in","16+3/16 in","14.92 lb","12.750 in","11.889 in","3.500 in","3.042 in"
"429-664F","12""","4""",40,"24 in","13+9/16 in","5 in","15+1/2 in","15.20 lb","12.750 in","11.889 in","4.500 in","3.998 in"
"429-665F","12""","5""",40,"23+3/4 in","13+9/16 in","6+1/16 in","14+1/2 in","21.03 lb","12.750 in","11.889 in","5.563 in","5.016 in"
"429-666","12""","6""",40,"12+13/32 in","13+21/32 in","7+9/32 in","3+9/32 in","10.73 lb","12.750 in","11.889 in","6.625 in","6.031 in"
"429-666F","12""","6""",40,"20+1/2 in","13+9/16 in","7+1/4 in","11 in","14.23 lb","12.750 in","11.889 in","6.625 in","6.031 in"
"429-668","12""","8""",40,"12+13/32 in","13+21/32 in","9+3/8 in","2+1/4 in","10.58 lb","12.750 in","11.889 in","8.625 in","7.942 in"
"429-668F","12""","8""",40,"15+3/4 in","13+9/16 in","9+7/16 in","5+1/4 in","12.31 lb","12.750 in","11.889 in","8.625 in","7.942 in"
"429-670","12""","10""",40,"12+3/8 in","13+21/32 in","11+19/32 in","1+9/32 in","10.84 lb","12.750 in","11.889 in","10.750 in","9.976 in"
"429-670F","12""","10""",40,"15+1/8 in","13+9/16 in","11+9/16 in","3+5/8 in","13.16 lb","12.750 in","11.889 in","10.750 in","9.976 in"
"829-338","3""","2""",80,"4 in","4+5/32 in","2+7/8 in","19/32 in",".75 lb","3.500 in","2.864 in","2.375 in","1.913 in"
